id;text;annotator_1;annotator_2;toxicity_score;profanity_score;contains_profanity;category;correct_response;comprehension_vulnerable;comprehension_insult
85;Sex sex sex sex Sex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sexSex sex sex sex;Reject;Approve;46,29;80,53;n;not_toxic;Reject;n;n
86;Mr. Stemonitis, you are a stupid botanist, who does not know the taxonomy of dipterous.  For that, you must leave the corrections made in the definition of the superfamille.;Reject;Reject;76,28;56,23;y;toxic;Reject;n;y
87;Hey, a girl's gotta eat, even if she eats cocks all day at work.;Reject;Reject;78,52;90,51;y;toxic;Reject;y;n
88;Now let's see who's gonna start crying like a little girl because I said this so I could laugh my ass off at them. ;Reject;Reject;70,08;91,13;y;toxic;Reject;n;n
89;It's not a song dumbass -___- its a MIXTAPE.;Reject;Reject;78,17;85,88;y;toxic;Reject;n;y
90;You are a maggot, that's all I have to say.  ;Reject;Reject;69,56;74,09;n;toxic;Reject;n;y
91;I ghLOOOOOOVE GGAAYY PPEEooPPLLEE !!!!!!!! CUZ IM GAY;Reject;Approve;50,26;69,38;n;not_toxic;Reject;y;n
92;Who the fuck do you think you are? I ask because you are not an admin. Do not delete comments from a discussion page, regardless of the contents of the comments, without first issuing a warning. And before you delete this comment, or alert an admin, please cite the rule that disallows the casual use of the word fuck on Wikipedia. Thanks.;Approve;Approve;87,42;93,69;y;toxic;Approve;n;n
93;Important Note: I would also like to point out that I hate you aswell and  hope you die. Best regards. ;Reject;Reject;75,1;50,84;n;toxic;Reject;n;n
94;I know he's an idiot I think he might of been held back a year in school then again Texans aren't really smart or average for that matter.;Reject;Reject;82,7;78,36;y;toxic;Reject;n;n
95;Okay retard whatever you say have fun being a loser!  ;Reject;Reject;81,29;69,24;y;toxic;Reject;n;y
96;A training course to stop shootings...? So, now we will have highly trained school shooters...? Great fucking logic dude.;Reject;Reject;68,87;92,18;y;toxic;Reject;n;n
97;a sincere question Why do you do what you do? slander, harassment and abuse of editors. And you are a mindless dumbass, Geogre. Also a liar. Actually the blatant slanderous crap you all throw out all over the internet about me and so many others is kind of against the law. ;Reject;Reject;67,1;77,64;y;toxic;Reject;n;y
98;Is this place run by girls????  That is the most ridiculous thing that I have ever heard!  Why would anybody in their right mind be offended by Biggus Dickus?  That is so gay!  ;Reject;Reject;81,34;80,53;n;toxic;Reject;y;n
99;it's not cheap. it's in fact the most important thing: having heart in a world full of mindlessly negative losers. it's certainly better than taking it up the ass and pretending that's ok, which is what a cynic does;Reject;Reject;73,45;87,61;y;toxic;Reject;y;n
100;Please stop being a retard @ satellite temp record ;Reject;Reject;68,1;77,42;y;toxic;Reject;n;y
101;Murder anyone preaching christianity, Judaism, or islam.;Reject;Reject;84,57;43,47;n;toxic;Reject;y;n
102;BOO HOO TELL EVERYONE WHAT I DID - CANT FIGHT YOUR OWN BATTLES!!! PATHETIC BABY!!;Reject;Reject;76,63;47,13;n;toxic;Reject;n;y
103;It is called pro choice not pro abortion dumb dumb. No one should be for abortion unless I could go back in time and convince your mom to go ahead and make that difficult decision. ;Reject;Reject;72,58;92,68;y;toxic;Reject;n;y
104;Ahh the good ol DNC, if only any of us could trust a word that comes out of this groups mouth. You fucks made us have Trump as president!  You could have told Hilary to fuck off and taken the more popular and actually electable candidate but no.  You had to have your lizard devil, and now we have Trump.  Thanks.;Reject;Reject;75,1;91,13;y;toxic;Reject;n;y
105;Get a life and quit stalking me. You admin clowns need to move out of your parents basements and get some real life experience in human interaction.;Reject;Reject;59,59;27,18;n;not_toxic;Reject;n;y
106;"A Pair of Twins - You write ""a pair of twins"". Twins are always pairs. You people are ridiculous. No wonder school boards spit at you. LMAO";Reject;Reject;59,59;54,78;n;not_toxic;Reject;n;y
107;did i hurt your feelings? its okay you can ban me, i will create a new account and sign in from a different ip. i must have hurt your feelings pretty bad. douche bag.;Reject;Reject;67,1;82,14;y;toxic;Reject;n;y
108;Dude, your retarded. Get some help.;Reject;Reject;83,02;69,31;y;toxic;Reject;n;y
109;Hey GWERNOL, yeah you're a schmuck face.  That's what I thought.  Oh, also, I would like a sandwich.  Thanks.  With cheese.;Reject;Reject;72,58;73,96;y;toxic;Reject;n;y
110;Are you really that stupid? Do you know the difference between these two words: unfair and allege? May I suggest going back to nursery school and learn basic English, again.;Reject;Reject;82,7;56,44;y;toxic;Reject;n;y
111;would you do the world a favor and die? plzkthx;Reject;Reject;81,29;55,98;n;toxic;Reject;n;n
112;guess what your retarded;Reject;Reject;78,02;68,57;y;toxic;Reject;n;y
113;YOU ARE A MISCHIEVIOUS PUBIC HAIR;Reject;Reject;76,63;58,54;n;toxic;Reject;n;y
114;What exactly is your problem?  Go play games with somebody else little boy.  Put down your video game controller and get out of your mommies basement and get a life assclown.  ;Reject;Reject;75,94;75,32;y;toxic;Reject;n;y
115;You seem to be slightly retarded, so I'll explain it slowly for you.  It's only vandalism if it has malicious, nonsensical intent.  You can't prove that, so please, quit harassing me.  ;Reject;Reject;65,02;70,46;y;toxic;Reject;n;y
116;No, you were trying to sound cool but ended up sounding like a retard.;Reject;Reject;74,2;69,22;y;toxic;Reject;n;y
117;Go worship your jewish god, sub-human.;Reject;Reject;83,02;50,9;n;toxic;Reject;y;y
118;Lick me are u horny?;Reject;Reject;72,12;78,36;n;toxic;Reject;n;n
119;let me tell you little man, a personal attack will be when I find you and beat the hell out of you.  Be very glad I don't know where you live or where I can find you.;Reject;Reject;49,45;61,6;n;not_toxic;Reject;n;n
120;And may you rot in hell my good sir for no one is good enough for heaven, not even you delusional folks. ;Reject;Reject;76,27;61,82;n;toxic;Reject;n;n
121;Awwwwwww, did I hit a little too close to home with the faggot comment? Oh well. Not harrassment if its true, yo! By the way, you are still completely ignoring the topic at hand. but that is to be expected from someone like you, I guess.;Reject;Reject;70,08;80,53;y;toxic;Reject;y;n
122;You are clearly a sock puppet.  Dance for the Puppet master. Dance. Dance.;Reject;Reject;51,24;19,27;n;not_toxic;Reject;n;y
123;I'm saying that anyone can claim to be transgender and then easily enter the bathroom they want to for whatever reason, moron. It's sad how you're literally saying harassment and pedophilia is fine because it's related to trans rights. ;Reject;Reject;69,56;75,33;y;toxic;Reject;y;y
124;She's a hoe, plain and simple. ;Reject;Reject;79,7;53,86;y;toxic;Reject;y;n
125;Women's studies is dumb though, stop defending your degree?;Reject;Reject;73,03;43,96;n;toxic;Reject;n;n
126;I know its not right to hit a woman but GOTDAYUM i would have beat the ever living hell out of her with whatever was on hand;Reject;Reject;68,09;46,02;y;toxic;Reject;y;n
127;That is one of the dumbest things I've read on here. Congrats.;Approve;Reject;58,92;42,97;y;not_toxic;Approve;n;n
128;The funny thing about this post is that people in this sub are too dumb  this has nothing to do with world politics   SMH people. ;Reject;Reject;69,56;43,47;y;toxic;Reject;n;y
129;What exactly are you trying to say here? That you, Oh Holy Man, know what is best for and will satisfy every single woman without exception? Were you by any chance dropped on your head as a child or are you just so miserable that the notion of women enjoying their lives without any concern for what you consider to be propriety enrages you?;Reject;Reject;43,1;20,61;n;not_toxic;Reject;y;y
130;Do you hate white people? Or do you just think that only white people can be bigots? Sounds like you have a problem with others not agreeing with you. There are treatments available for your problems. And I am really sorry your great great great grandma did all those awful things. People thought different back then. You can stop feeling guilty about it now.;Reject;Reject;43,62;16;n;not_toxic;Reject;n;n
131;Zzzzzzzzzzzzzzzzzzzzzzz...fake media.....but not Fox, even though it has the most ill informed audience of all media.... love Daddy Trump.....his wife is hotzzzzzzzzz...I'm a zero but Trump makes me feel like a manzzzzzzzzzzzzzor a woman, but I'd never admit thatzzzzzzzzzzzzz....;Reject;Reject;39,16;26,05;n;not_toxic;Reject;n;n
132;These Libtards who never served and have a rather bizarre understanding of the prupose of the military have some close allies in their righteous cause.  Rest assured, ISIS, China, Iran, Russia, Al Qaeda, Syria and North Korea are also opposed to Trump's transexual ban.;Reject;Reject;42,47;13,25;n;not_toxic;Reject;n;y
133;I'm fine with gay people as long as they aren't gay around me.;Reject;Reject;50,43;42,81;n;not_toxic;Reject;y;n
134;"Does ""cultural  appropriation"" mean the black musicians  can be prevented from playing Tchaikovsky or Bach? or  an Asian girl who wants to be a ballerina can be told to go away?  Or natives will accept that they  simply have to give up pizza and Chinese food? No of course not: that would be racist.";Approve;Reject;39,23;9,67;n;not_toxic;Approve;y;n
135;Charles... not everyone looks to the government to pay all of their bills and supply them with every one of life's little pleasures... They also don't value their own lives based upon what the government thinks its value is. When rural people fall on hard times they don't start crying for another government program to take care of them;Reject;Approve;8,56;1,18;n;not_toxic;Reject;y;n
136;Perhaps if your science comes from either the Middle Ages or from FOX News as both seem to be of the same relevance. I'm no dummy, neither am I a sheep. I'm not implying you are either one but you do seem to have a stick in your eye when it comes to anything having to do with gay men.;Reject;Approve;47,25;31,21;n;not_toxic;Reject;y;y
137;Why do you get so offended when someone says you act white? They're acknowledging the fact that you're smart. Just accept the compliment.;Reject;Reject;26,59;12,79;n;not_toxic;Reject;y;n
138;Don't shoot officers, I'm white!;Reject;Approve;44,51;16,26;n;not_toxic;Reject;n;n
139;I can no longer take wise people that believe Donald Trump is unqualified to be president because of his private conversation about a woman that he had eleven years ago. These people are sheltered, isolated, secluded, who obviously have never been out of the house. If they decide to come out of their womb and visit society, they would discover that men say rough, crude things;Reject;Reject;26,82;7,97;n;not_toxic;Reject;n;y
140;If a guy thinks he is a dog, should we let him case cars and pee on fire hydrants.  Maybe his employer should be required to make reasonable accommodations and let him bark at people.  Of course not, the guy would be put in API.  So if you think you are an animal you go to the funny farm, if you think you are the opposite sex the world need to accommodate you?;Reject;Reject;50,23;29,9;n;not_toxic;Reject;y;n
141;You're Asian, so you must be good at math, right?;Reject;Reject;31,67;16,31;n;not_toxic;Reject;y;n
142;What if Islam is like kryptonite to the otherwise workable idea of a harmonious, multicultural society?;Reject;Reject;22,98;18,66;n;not_toxic;Reject;y;n
143;trendy...indignation - sounds like insensitive words from someone that probably has been entitled in their life and doesn't know or appreciate what it might be like to live being oppressed, discriminated against, or subjugated. You do yourself and your position a dis-service by being trite and dismissive.;Reject;Approve;21,63;3,96;n;not_toxic;Reject;y;n
144;"Dude, your heart's in the right place, but your brain may be in neutral.  You don't need to ""neutralize"" a ""compliant"" enemy combatant.  That's why they're called ""compliant""  ";Reject;Approve;15,33;7,81;n;not_toxic;Reject;n;y
145;The indigenous cultures your parents were so proud of were practicing cannibalism and never developed a modern society.  For your daughter's sake, please read some history!;Reject;Reject;25,45;9,68;n;not_toxic;Reject;y;n
146;"I'm sick of hearing all this stuff about feminism. I'm a white male, does that make me rich? I'm not ""empowered"" just because I'm a guy. Do you know how many scholarships I can't apply for because I'm male?";Reject;Reject;34,39;15,81;n;not_toxic;Reject;n;n
147;Going to Bed already? It only 3pm. Better take your Bottle and Blankie with you. Your mommy waiting for you.;Reject;Reject;34,39;11,82;n;not_toxic;Reject;n;y
148;There are scholarships available solely for black men, black women, only women, Hispanic men and women, but if there was a scholarship that only a white man could apply for, I bet it would cause an uproar. Just sayin'. Is this fair in today's day and age? What did my generation do to oppress any specific group of people? Isn't it time for equality across the board?;Reject;Reject;29,76;6,99;n;not_toxic;Reject;y;n
149;Alto Adige  I see you are trying to change the name again to the German point of view.  Jan, you really a pathethic nationalistic neo-nazi POS excuse for a human being.  With this move request, you prove it.  How insecure you must be.;Reject;Reject;59,34;10,27;n;not_toxic;Reject;n;y
150;"All of the ""independent women"" I knew eventually settled down and got married. Your instinct will kick in soon.";Reject;Reject;26,59;6,89;n;not_toxic;Reject;y;n
151;How can you be a Muslim and feminist at the same time?;Reject;Reject;36,21;7,97;n;not_toxic;Reject;y;n
152;Images I find on Google are now available to the public to use. If you used your brain, you would know that no where, and I repeat NO WHERE can I see a visible copyright. ;Reject;Approve;35,12;12,3;n;not_toxic;Reject;n;y
153;The reason why women get paid less than men is because they aren't assertive enough. If women would just demand better pay and refuse to work until they got it, they wouldn't have to keep complaining about the wage gap.;Reject;Reject;27,36;11,6;n;not_toxic;Reject;y;n
154;Oh go ahead and revert it.  Go ahead and increase the block.  Obviously patrolling this site fills a very big void in your life.;Reject;Reject;28,92;14,31;n;not_toxic;Reject;n;n
155;If a woman says NO then a man must stop, but if a woman cries FOUL 20 years later, she probably has an ulterior motive that didn't exist at the actual time when she was groped. Lots of women use their goodies for advantage and if the advantage doesn't materialize, then they turn to revenge. Human Nature!;Reject;Reject;24,59;12,49;n;not_toxic;Reject;y;n
156;"Not so sure women need to be socialized... being physically weaker, so men have always been the hunters and defenders.  Even primate females want the strongest male, partly to protect them from all the other males.  So most women innately don't want men who are weaker and poorer than them thus, in various ways, they ""marry up"".";Reject;Reject;30,49;3,63;n;not_toxic;Reject;y;n
157;No offense, but women ruined the navy and the military in general. Things were a lot better when it was just men on ships because that way, they could be real men;Reject;Reject;45,96;11;n;not_toxic;Reject;y;n
158;"There should be exceptions for people who have actually had reassignment surgery. For people who simply say they ""feel like a woman"" or ""feel like a man"" forget it !!!";Reject;Reject;22,6;10,12;n;not_toxic;Reject;y;n
159;Why can't they act like normal people? You don't have Asperger's. There's nothing wrong with you. You're just looking for attention/excuses.  If you'd just stop behaving so oddly, you wouldn't need to blame it on a disease.;Reject;Reject;20,96;6,31;n;not_toxic;Reject;y;n
160;I had a chude moment-I didn't know if it was a chick or a dude.;Reject;Reject;16,9;17,69;n;not_toxic;Reject;y;n
161;the Nijab is not just a symbol of the  oppression of women. it is actual oppression. also the way we identify ourselves in Canada is by showing our face, religion has nothing to do with it;Reject;Reject;19,79;14,05;n;not_toxic;Reject;y;n
162;I find it rather funny when girls who wear rather revealing clothing complain about being touched inappropriately. It's like walking around with expensive jewelry and getting robbed, then complaining you got robbed. It's like don't advertise yourself if you don't want it to happen to you.;Reject;Reject;16,76;13,99;n;not_toxic;Reject;y;n
163;Are you on your period or something?;Reject;Reject;21,04;6,24;n;not_toxic;Reject;n;n
164;You can major in two things. They don't necessarily have to be related. For example, I majored in Chemistry and African Studies and they don't really have anything to do with each other except for AIDS.;Reject;Reject;6,33;15,01;n;not_toxic;Reject;n;n
165;Not much of a man, are you?;Reject;Reject;17,76;8,84;n;not_toxic;Reject;n;y
166;Saw two old guys hooking up tonight. CANNOT UNSEE;Reject;Reject;11,41;11,88;n;not_toxic;Reject;y;n
167;Not saying he is innocent at all.  Here is the problem.  Any 2-3 people can conspire with any combination of females to frame, defame, and bring lawsuit upon anyone they wish that had prior contact over a span of years.  How would you be able to defend yourself even if you are innocent?  Beware.;Reject;Reject;18,55;2,59;n;not_toxic;Reject;n;n
168;Oh great, we are getting a woman employee.  Now we have to make sure that our conversations are work-friendly;Reject;Reject;13,3;5,31;n;not_toxic;Reject;y;n
169;Cool story, babe. Now make me a sandwich;Reject;Reject;17,17;6,6;n;not_toxic;Reject;n;n
170;Wow Barbie actually has a lot to say.;Reject;Reject;8,53;3,57;n;not_toxic;Reject;n;y
171;Bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change.;Reject;Reject;35,45;4,32;n;not_toxic;Reject;y;n
172;Wow, if only there was some place we could find such information....;Approve;Approve;2,03;1,71;n;not_toxic;Approve;n;n
173;Take it as a compliment! It just means you're young and attractive, you'll be wishing for that attention in 20 years.;Reject;Reject;3,84;2,04;n;not_toxic;Reject;n;n
